dist_bin_mid,n_pairs,correlation,semivariance
0.15,1300,0.41021551140218154,35943.85324077466
0.44999999999999996,2016,0.2613430023033783,60896.88446115591
0.75,2611,0.2727853872527219,63960.70954246162
1.05,2500,0.11129129380067643,86083.018162977
1.35,2439,0.07775111844760862,96651.2512532451
1.65,2056,0.004154886445547573,114554.23999751394
1.9500000000000002,2073,-0.10587194725166146,132230.19036742818
2.25,2318,-0.09188671913355381,141486.4511623219
2.55,2328,-0.15183602988464853,146295.22750811264
2.85,2072,-0.056740349530638674,131362.92527436296
3.15,2044,-0.052351692350467084,109952.65685596813
3.45,2141,-0.08248296119083079,115547.55074372084
3.75,1836,-0.09069060692242381,125442.18904207663
4.05,988,-0.13675340677108147,135205.24994363362
4.35,472,0.013591153396233032,73699.68254500508
4.65,161,-0.03181284162206026,77291.57987892373
4.949999999999999,32,0.2188244632536072,98225.70238577138
