liquidity_tier,mean_mdd,median_mdd,std_mdd,n,anova_p,tier1_vs_tier4_ttest_p,expected_direction_gap_pct
4,0.43544443193494475,0.44931092913298376,0.0949902052289999,33,4.87649326251167e-24,2.7356447061686586e-19,-27.659952136231304
3,0.37737571746138954,0.39231968838983866,0.09957044572984072,52,4.87649326251167e-24,2.7356447061686586e-19,-27.659952136231304
2,0.2809224604117232,0.26969344152966435,0.12596216989905806,44,4.87649326251167e-24,2.7356447061686586e-19,-27.659952136231304
1,0.15884491057263175,0.14811408739507811,0.09901158653700246,43,4.87649326251167e-24,2.7356447061686586e-19,-27.659952136231304
