complex_id,apt_name,unit_cnt,predicted_liquidity_1y,liquidity_percentile,assigned_ltv_pct
276,회기힐스테이트,190.0,0.642352,71.23745819397993,37.1
97,서희스타힐스,132.0,0.6407975,70.90301003344482,37.1
267,민족통일MJ캠퍼스경희대,110.0,0.64033306,70.5685618729097,37.1
172,한신휴플러스그린파크,141.0,0.6370152,70.23411371237458,37.0
268,캠퍼스드림오피스텔,148.0,0.6355232,69.89966555183946,37.0
109,삼희,150.0,0.6325364,69.56521739130434,37.0
25,장한평월드메르디앙,123.0,0.62985057,69.23076923076923,36.9
256,현대,241.0,0.6283275,68.89632107023411,36.9
46,일성트루엘,116.0,0.62366354,68.56187290969899,36.9
275,리스트안암,299.0,0.6176412,68.22742474916387,36.8
255,서울가든,160.0,0.6158242,67.89297658862876,36.8
312,신이문금호어울림,166.0,0.61306363,67.55852842809364,36.8
260,현대,146.0,0.61282593,67.22408026755853,36.7
288,롯데낙천대,239.0,0.60723513,66.88963210702342,36.7
180,현대홈타운3차,137.0,0.59064615,66.5551839464883,36.7
170,청계와이즈노벨리아,99.0,0.5855852,66.22073578595318,36.6
169,세양청마루,231.0,0.58283526,65.88628762541806,36.6
3,글로벌팰리스,65.0,0.57570946,65.55183946488295,36.6
5,에스아이팰리스장안센텀,99.0,0.5753873,65.21739130434783,36.5
212,한양아이클래스,60.0,0.57169366,64.88294314381271,36.5
141,포레스트힐시티,90.0,0.569202,64.54849498327759,36.5
90,답십리엘림퍼스트,79.0,0.5630491,64.21404682274247,36.4
104,양우내안애애플,105.0,0.55436933,63.87959866220736,36.4
158,청계천대성스카이렉스1,56.0,0.5428499,63.54515050167224,36.4
243,이수브라운스톤,299.0,0.5358085,63.21070234113713,36.3
119,청계한양아이클래스,96.0,0.5338688,62.87625418060201,36.3
208,가우디캐슬,64.0,0.5334439,62.54180602006689,36.3
41,신일해피트리3차(568),88.0,0.5329857,62.207357859531776,36.2
271,휘경제이스카이아파트,64.0,0.53229403,61.87290969899666,36.2
48,신일해피트리아파트101동,62.0,0.52850133,61.53846153846154,36.2
245,휘경동일하이빌,216.0,0.52767473,61.20401337792642,36.1
270,민족통일MJ캠퍼스경희대2차,132.0,0.5138121,60.86956521739131,36.1
232,경남하이빌,66.0,0.49939457,60.535117056856194,36.1
173,브이티스타일,75.0,0.49884906,60.200668896321076,36.0
156,금강아미움,75.0,0.49545363,59.86622073578596,36.0
224,경동미주,228.0,0.47504586,59.53177257525084,36.0
88,한강훼미리주상복합아파트,72.0,0.46417728,59.19732441471572,35.9
310,대성유니드아파트,88.0,0.46164212,58.862876254180605,35.9
100,태솔아파트1차,60.0,0.45869967,58.52842809364549,35.9
314,이문2차푸르지오,96.0,0.4557342,58.19397993311036,35.8
188,청솔2차우성,127.0,0.45572567,57.859531772575245,35.8
17,은하수드림필,75.0,0.4490968,57.52508361204013,35.8
96,태솔아파트3차,80.0,0.44257003,57.19063545150501,35.7
302,이문동웰츠타워,107.0,0.4387502,56.85618729096989,35.7
78,정은스카이빌201동,89.0,0.43451473,56.52173913043478,35.7
94,엘림스퀘어3,99.0,0.43279642,56.187290969899664,35.6
235,은하수드림빌,61.0,0.42586043,55.852842809364546,35.6
220,두산베어스타워,62.0,0.4225908,55.51839464882943,35.6
200,정은스카이빌101동,107.0,0.4183893,55.18394648829431,35.5
295,세진빌딩,99.0,0.40530565,54.84949832775919,35.5
274,효자워너빌,80.0,0.4044759,54.515050167224075,35.5
205,신설동역대우아이빌1,42.0,0.39948848,54.18060200668896,35.4
37,서광아침의빛,48.0,0.39894176,53.84615384615385,35.4
28,신일해피트리2차(567),98.0,0.39817098,53.51170568561873,35.4
203,전농동하우스토리,60.0,0.3910495,53.17725752508361,35.3
240,현대코아,88.0,0.38212106,52.84280936454849,35.3
8,양지쉐르빌아파트(415-1),28.0,0.3819389,52.508361204013376,35.3
7,가우디캐슬,28.0,0.38021788,52.17391304347826,35.2
112,코지언레지던스,62.0,0.37259346,51.83946488294314,35.2
64,우창프라자,44.0,0.36664268,51.50501672240802,35.2
301,이문스카이뷰,36.0,0.36623457,51.17056856187291,35.1
108,제이드파크(382-2),40.0,0.36555517,50.836120401337794,35.1
40,대명이룸아파트(565-0),71.0,0.3623243,50.50167224080268,35.1
92,태솔아파트2차,42.0,0.3594068,50.16722408026756,35.0
70,청원파크빌,39.0,0.35620698,49.83277591973244,35.0
49,신부파스카(563),106.0,0.34755838,49.49832775919732,34.9
83,태솔타워,27.0,0.3460869,49.163879598662206,34.9
298,민족통일MJ캠퍼스외대3차,56.0,0.3416002,48.82943143812709,34.9
191,청재제일타운,32.0,0.33601192,48.49498327759198,34.8
162,정은101동(332-2),36.0,0.33081892,48.16053511705686,34.8
165,신설에스하임,40.0,0.32605875,47.82608695652174,34.8
42,형인허브빌아파트301동,48.0,0.32004863,47.491638795986624,34.7
101,가야써니빌(373-7),36.0,0.31969392,47.15719063545151,34.7
215,U-포그니,29.0,0.31953496,46.82274247491639,34.7
122,한원힐트리움아파트,29.0,0.3182105,46.48829431438127,34.6
296,샹그레빌아파트,55.0,0.3152033,46.15384615384615,34.6
116,태솔에버빌2차,33.0,0.31471744,45.819397993311036,34.6
234,방원예뜨랑,49.0,0.30739093,45.48494983277592,34.5
297,민족통일MJ캠퍼스외대2차,59.0,0.30609423,45.1505016722408,34.5
138,공감대6차(384-1),36.0,0.3054969,44.81605351170568,34.5
53,클래식타워,39.0,0.30463034,44.481605351170565,34.4
263,홍파,38.0,0.30240852,44.14715719063545,34.4
201,태솔에버빌,29.0,0.30154958,43.812709030100336,34.4
311,투니온,28.0,0.30107585,43.47826086956522,34.3
2,스타파크아파트,36.0,0.29816318,43.1438127090301,34.3
313,주성아우라,29.0,0.29739454,42.80936454849498,34.3
113,아르떼하임,28.0,0.2922998,42.474916387959865,34.2
248,리베르떼,29.0,0.29039887,42.14046822742475,34.2
44,우성3차(562),74.0,0.290024,41.80602006688963,34.2
120,청명에버아트3차,34.0,0.28851333,41.30434782608695,34.1
117,태솔에버빌3차,33.0,0.28851333,41.30434782608695,34.1
38,흥해오크팰리스(576-0),67.0,0.2864382,40.802675585284284,34.1
137,U포그니2차,54.0,0.28350216,40.468227424749166,34.0
84,가우디트윈캐슬1,21.0,0.28138357,40.13377926421405,34.0
79,스마트트라움,27.0,0.27760458,39.79933110367893,34.0
199,용두아파트,34.0,0.27754337,39.46488294314381,33.9
82,가우디트윈캐슬2,21.0,0.27582166,39.130434782608695,33.9
136,태솔타운2차,28.0,0.27508962,38.79598662207358,33.9
130,태솔타운(1차),28.0,0.27291447,38.46153846153847,33.8
140,르메이에르1차(344-1),48.0,0.27219146,38.12709030100335,33.8
129,르메이에르장안타운6차,56.0,0.26917267,37.79264214046823,33.8
218,르메이에르7차(313-8),36.0,0.2690704,37.45819397993311,33.7
150,우성2차아파트(334-6),28.0,0.26537848,37.12374581939799,33.7
221,어반넥서스,28.0,0.26315492,36.78929765886287,33.7
20,형인허브빌2차(566),79.0,0.26248583,36.45484949832776,33.6
10,프라하임장안1,45.0,0.26167998,36.12040133779264,33.6
251,건영스타밸리,29.0,0.26152465,35.785953177257525,33.6
125,청솔아파트(B동),26.0,0.25231555,35.45150501672241,33.5
134,다우하임,28.0,0.2516037,35.11705685618729,33.5
133,청솔아파트(A동),20.0,0.24873866,34.78260869565217,33.5
16,비젼아파트103동,21.0,0.2468122,34.448160535117054,33.4
183,서안팰리스,19.0,0.24241653,34.11371237458194,33.4
127,르메이에르장안타운3차,40.0,0.24168193,33.77926421404682,33.4
102,청명에버아트2차,18.0,0.23964243,33.44481605351171,33.3
254,휘경,21.0,0.23935397,33.11036789297659,33.3
153,젬스톤힐즈,27.0,0.23746249,32.77591973244147,33.3
50,(해오름),41.0,0.23486567,32.441471571906355,33.2
43,우성5차에비뉴,32.0,0.23146187,32.10702341137124,33.2
155,태솔아파트4차,54.0,0.23035522,31.77257525083612,33.2
175,새한그린빌(306-10),18.0,0.23018464,31.438127090301005,33.1
142,태솔타운3차,28.0,0.22971389,31.103678929765888,33.1
15,비젼아파트102동,21.0,0.22914627,30.76923076923077,33.1
123,성림(390-5),18.0,0.22852391,30.434782608695656,33.0
35,홍해오크펠리스3차,31.0,0.22622357,30.100334448160538,33.0
12,공감대(440-12),19.0,0.22418578,29.76588628762542,33.0
280,청량리신주,17.0,0.22260153,29.431438127090303,32.9
143,리치,17.0,0.22246748,29.09698996655518,32.9
132,광남캐스빌,39.0,0.21895188,28.762541806020064,32.9
34,상록파라브,18.0,0.21558094,28.428093645484946,32.8
107,형인휴아름101동,44.0,0.21487163,28.093645484949832,32.8
118,르메이에르장안타운II(342-11),31.0,0.21341711,27.759197324414714,32.8
30,동재(A동),18.0,0.21151657,27.424749163879596,32.7
211,신부파스카(313-7),24.0,0.21148498,27.09030100334448,32.7
179,유엔팰리스(131-1),18.0,0.20940748,26.755852842809364,32.7
19,형인허브빌101동(417-3),24.0,0.20128761,26.421404682274247,32.6
128,선일크라시아,20.0,0.20122159,26.08695652173913,32.6
32,동재(B동),12.0,0.20045008,25.75250836120401,32.6
257,효성트럼프,18.0,0.19897446,25.418060200668897,32.5
135,월튼파크뷰2차,40.0,0.19873603,24.91638795986622,32.5
154,르미에르장안타운5차,33.0,0.19873603,24.91638795986622,32.5
87,대성장안애캐슬,15.0,0.19714782,24.414715719063544,32.4
69,에메랄드(351-5),29.0,0.19709517,24.08026755852843,32.4
105,청명에버아트1차,18.0,0.19427909,23.745819397993312,32.4
131,대성하이빌(A동),15.0,0.19070917,23.244147157190636,32.3
126,대성하이빌(B동),15.0,0.19070917,23.244147157190636,32.3
281,동일스카이시티2차,16.0,0.18884982,22.74247491638796,32.3
216,주함해븐아파트,16.0,0.18844509,22.40802675585284,32.2
157,태솔아파트5차,19.0,0.18744719,22.073578595317723,32.2
229,동성네스트빌,10.0,0.1861842,21.73913043478261,32.2
233,금성아파트,18.0,0.18426336,21.40468227424749,32.1
24,상록파라브아파트105동,19.0,0.1816249,20.903010033444815,32.1
26,흥해오크팰리스(440-5),18.0,0.1816249,20.903010033444815,32.1
80,공감대(380-1),24.0,0.18140428,20.401337792642142,32.0
14,장안예원(418-4),17.0,0.17949095,20.066889632107024,32.0
39,SM이로빌3차(358-18),19.0,0.17931597,19.732441471571907,32.0
45,한일(424-1),18.0,0.17879426,19.39799331103679,31.9
27,이한센토빌(410-13),18.0,0.1759977,19.063545150501675,31.9
81,네오빌,19.0,0.17439267,18.729096989966553,31.9
149,공감대5차(334-5),18.0,0.17421652,18.394648829431436,31.8
6,JS아파트,18.0,0.17403772,17.725752508361204,31.8
4,SM이로빌4차A동(455-5),18.0,0.17403772,17.725752508361204,31.8
11,비젼아파트101동,19.0,0.17403772,17.725752508361204,31.8
36,(아이엔에스새터),18.0,0.17305945,17.05685618729097,31.7
258,광남캐스빌,20.0,0.1725991,16.722408026755854,31.7
231,동성네스트빌2,15.0,0.17247733,16.387959866220736,31.6
303,삼보스위트홈,18.0,0.1707678,16.05351170568562,31.6
9,SM이로빌4차B동(455-4),13.0,0.17009592,15.719063545150503,31.6
144,월튼파크뷰(342-21),27.0,0.16907902,15.384615384615385,31.5
285,동일스카이시티3차,12.0,0.16579303,15.050167224080269,31.5
262,세화,14.0,0.16538554,14.715719063545151,31.5
18,베스트빌(417-10),10.0,0.16026576,14.381270903010032,31.4
196,장안동파크뷰,16.0,0.1600654,14.046822742474916,31.4
210,신부파스카(319-2),19.0,0.1597286,13.712374581939798,31.4
278,회기아파트(347-7),18.0,0.15840104,13.377926421404682,31.3
178,아인리베(310-14),18.0,0.15782587,13.043478260869565,31.3
76,정암(363-11),11.0,0.15482047,12.709030100334449,31.3
85,NS파크타운,8.0,0.15358534,12.37458193979933,31.2
228,동성네스트빌(1158-17),14.0,0.15290238,11.872909698996656,31.2
227,청우,12.0,0.15290238,11.872909698996656,31.2
272,동일스카이씨티,16.0,0.15275249,11.37123745819398,31.1
264,동성,19.0,0.15068558,11.036789297658862,31.1
59,청솔브레싱(A동)(400-1),15.0,0.14831196,10.702341137123746,31.1
89,선경이노블,8.0,0.14723748,10.367892976588628,31.0
209,신부파스카(319-3),6.0,0.14618039,10.033444816053512,31.0
160,천강(332-6),19.0,0.14375785,9.698996655518394,31.0
21,형인허브빌102동(417-11),18.0,0.14219289,9.364548494983277,30.9
51,화성(401-1),17.0,0.14198579,9.03010033444816,30.9
148,삼현팰리체,17.0,0.1419182,8.695652173913043,30.9
33,상록파라브2차,10.0,0.14186037,8.361204013377927,30.8
187,삼성그린,19.0,0.1412096,8.02675585284281,30.8
29,상록파라브3차,17.0,0.13911979,7.6923076923076925,30.8
54,장안SM드림빌(360-2),18.0,0.13651235,7.357859531772576,30.7
168,장안트윈B동,12.0,0.13484572,7.023411371237458,30.7
198,SM이로빌5차,19.0,0.13151458,6.688963210702341,30.7
190,리채,19.0,0.1267948,6.354515050167224,30.6
55,청솔브레싱(B동)(400-9),15.0,0.12544677,6.0200668896321075,30.6
192,화성(311-6),19.0,0.12433336,5.68561872909699,30.6
23,형인허브빌(450-4),27.0,0.1221089,5.351170568561873,30.5
31,금호(444-9),19.0,0.12031954,5.016722408026756,30.5
72,공감대2차(375-7),18.0,0.119469464,4.682274247491638,30.5
289,월드아파트,15.0,0.11796738,4.3478260869565215,30.4
75,장안동공감대(375-11),12.0,0.11403754,4.013377926421405,30.4
239,푸른마을(284-3),19.0,0.11132328,3.678929765886288,30.4
74,공감대(378-3),12.0,0.10848417,3.3444816053511706,30.3
13,장안동우성4차,21.0,0.102564834,3.0100334448160537,30.3
56,제이슨(360-7),15.0,0.100089066,2.6755852842809364,30.3
244,명경아트빌,9.0,0.086209245,2.341137123745819,30.2
139,우정B(344-6),8.0,0.084218085,2.0066889632107023,30.2
62,SM해그린(362-7),19.0,0.07208172,1.6722408026755853,30.2
71,현대리노빌102동,18.0,0.06966475,1.3377926421404682,30.1
47,비젼(437-2),18.0,0.06736156,1.0033444816053512,30.1
67,현대리노빌101동,18.0,0.0627285,0.6688963210702341,30.1
73,SM이로빌(350-11),19.0,0.059142724,0.33444816053511706,30.0
