complex_id,aptNm,umdNm,jibun,lat,lon,n_trades,mean_price_per_m2,excluUseAr,floor,building_age,MDD,CV,neighbor_price_level,neighbor_dist_km,neighbor_momentum_3m
0,장안푸르미에,장안동,466-5,37.5613590070687,127.069901950155,74,944.6589252113336,13.070122972972973,6.135135135135135,12.0,0.36796857328371113,0.09063913884139467,758.736125417122,0.2661924177294347,2.621735152245419
3,글로벌팰리스,장안동,415-10,37.5622359857408,127.06192445701,48,1079.1624967761634,25.993749999999995,12.229166666666666,6.0,0.2253903777168181,0.07296380182762671,941.2312591524569,0.16098585177557276,32.97535291752809
5,에스아이팰리스장안센텀,장안동,416-1,37.5623318745324,127.063241316176,47,1440.3420775987768,19.622319148936167,11.446808510638299,5.0,0.21814297579942057,0.0799111030571809,867.2648788528255,0.17958380928734716,6.176276540825065
7,가우디캐슬,장안동,415-14,37.5625230974171,127.061821018063,18,863.9725908409916,27.23777777777778,9.38888888888889,9.0,0.19230769230769235,0.09503874582882875,984.2692403394913,0.14991280657294576,17.81206797631789
8,양지쉐르빌아파트(415-1),장안동,415-1,37.5625799833677,127.061412357173,14,757.4007254693686,55.51714285714285,7.357142857142857,9.0,0.10869565217391296,0.08731815244833674,1005.5836134138159,0.16872189535482454,3.548470579807095
17,은하수드림필,장안동,572,37.5630402322628,127.069041278972,11,719.3501308221258,82.70363636363638,6.454545454545454,19.0,0.23398328690807793,0.12740995515518,803.7978842949635,0.1557691400929447,2.0604114057674705
20,형인허브빌2차(566),장안동,566,37.5633117475362,127.068499825008,11,646.0067991803517,82.97363636363637,8.272727272727273,20.0,0.23582561368145355,0.12728148702282777,768.5626056111657,0.1684806950685878,2.621735152245419
22,장안평월드메르디앙2차,장안동,575,37.5633565631434,127.071180433514,24,893.5263193979484,84.81791666666668,6.5,18.0,0.1345985745024207,0.13600264783834914,735.4590508509721,0.16721578265864445,2.3186120398486665
25,장한평월드메르디앙,장안동,573,37.5635605140704,127.070638015754,25,832.6421014775141,83.8328,7.68,19.0,0.19908466819221984,0.1585191121169889,733.5145771973996,0.15075028279371838,-4.251818250537509
28,신일해피트리2차(567),장안동,567,37.5637319115479,127.063783188555,15,758.396573132806,81.762,6.333333333333333,20.0,0.11434126690069343,0.17643221164139214,987.1083414306325,0.19653560153662342,
37,서광아침의빛,장안동,577,37.5645197126731,127.072572382785,13,765.7457863388671,84.98,6.0,17.0,0.12933333333333324,0.14851978642791852,849.781830429121,0.19678226253933634,-2.788353536549759
38,흥해오크팰리스(576-0),장안동,576,37.5645919981446,127.068611694295,10,702.1552762076699,84.688,5.3,18.0,0.11824324324324333,0.14668991982358767,727.9157978733532,0.15692675973317033,15.209146461659785
41,신일해피트리3차(568),장안동,568,37.5649115276883,127.065045670718,17,877.3920080447976,77.46117647058824,7.470588235294118,20.0,0.20948486759200033,0.1388962655851836,788.3797519986769,0.20751004407701287,21.238096105529646
42,형인허브빌아파트301동,장안동,561,37.5649459435623,127.071141877313,10,713.5504364360014,89.87899999999999,8.6,20.0,0.11597580134246628,0.13230805695624578,786.698833020221,0.1479471803667461,9.626094364135373
44,우성3차(562),장안동,562,37.5650914448661,127.069493886305,13,695.1392001505706,84.2169230769231,6.6923076923076925,20.0,0.039215686274509755,0.15213717595753645,728.1590742075483,0.14378665176976294,-1.8936871965230528
46,일성트루엘,장안동,581,37.5652943577914,127.065377531925,33,867.7907019482544,78.1219,7.909090909090909,13.0,0.2294572328910366,0.15103439499446467,790.3000132179856,0.2195004375928179,18.75218235179128
48,신일해피트리아파트101동,장안동,564,37.5654164750873,127.062828861793,15,886.0443287203419,71.95666666666668,5.6,20.0,0.14454277286135683,0.10449116627741377,819.0127507902323,0.21574857659936048,24.240917152936415
49,신부파스카(563),장안동,563,37.5655179693251,127.069963449153,25,746.4407577362042,84.98999999999998,6.92,20.0,0.19354838709677413,0.18102332077468974,801.2473102739384,0.16164121915492785,-11.587569207460923
57,현대썬앤빌청계,답십리동,530-15,37.5661625518015,127.055151048753,105,871.3701627959064,15.902857142857142,9.161904761904761,9.0,0.23639786255657588,0.07631821066765385,1011.7781057422351,0.19434618169921003,-1.4702665041623542
58,두산위브,답십리동,998,37.5661858435952,127.057693983227,185,1267.9357153100705,73.8589189189189,9.875675675675677,18.0,0.4197313845123253,0.2214267447486892,1094.9513125115307,0.24650282209431454,-11.917218744265433
60,센시티16,답십리동,488-18,37.5662755970916,127.056358640081,55,747.0737686811334,14.466218181818185,11.581818181818182,12.0,0.21739130434782614,0.05209112720823535,1036.6373845651897,0.20305340879997094,8.177502045762864
61,장안위더스빌,장안동,580,37.5662781673123,127.062186441493,54,727.511879984312,96.83777777777777,10.75925925925926,14.0,0.3131723477892432,0.20558319952945137,1023.2328060859551,0.26175168496289675,-40.29507706450758
63,래미안장안,장안동,354-2,37.566445230313,127.072426877432,116,1062.7495370979361,79.54335344827585,10.301724137931034,22.0,0.43421615282335424,0.2051002677037336,744.3393004267598,0.22459953890274686,-11.77166947503686
66,한일노벨리아,답십리동,494-1,37.5669003328218,127.053285984052,37,914.1088322229332,20.90845945945946,14.81081081081081,9.0,0.2945921985815604,0.0763642633913857,921.7334654435792,0.24203584745507117,-3.3865770667576123
68,답십리한화,답십리동,994,37.5669329066906,127.053973867265,27,887.0383463831495,84.86000000000001,10.814814814814815,24.0,0.14475138121546957,0.18186076267099713,1008.6444690247866,0.21275060462676887,1.3756415252342835
77,답십리파크자이,답십리동,1014,37.5677324870223,127.059520848719,199,1726.540418583575,60.89492462311556,9.035175879396984,6.0,0.32428848293657386,0.12752141850379425,1020.0749265206081,0.2531783022489069,18.938756761972698
78,정은스카이빌201동,장안동,347-8,37.5678751887241,127.070662238255,11,638.1744189801135,81.73272727272727,8.545454545454545,19.0,0.15280837388285476,0.22320905414556902,717.8340871569711,0.1454706908910359,-4.034260876768991
