complex_id,slope_mean_100m,slope_median_100m,slope_stdev_100m,slope_min_100m,slope_max_100m,slope_range_100m,slope_mean_150m,slope_median_150m,slope_stdev_150m,slope_min_150m,slope_max_150m,slope_range_150m,slope_mean_200m,slope_median_200m,slope_stdev_200m,slope_min_200m,slope_max_200m,slope_range_200m,slope_mean_300m,slope_median_300m,slope_stdev_300m,slope_min_300m,slope_max_300m,slope_range_300m,school_pc1,straight_dist_m,walk_dist_m,walk_time_min,avg_daily_ridership,station_zone_ord,unit_cnt,trade_activity_ratio,n_quarters
0,13.3103071848551,12.8970241546631,0.819687393189431,12.5790100097656,14.4548873901367,1.87587738037109,12.7834632396698,12.5870819091797,0.659388158119534,12.1909875869751,14.4548873901367,2.26389980316162,12.8760043978691,12.5821199417114,1.25540913358244,11.9892673492432,17.2389163970947,5.24964904785156,12.6290843963623,12.5852298736572,1.45202761386392,8.54187202453613,17.2389163970947,8.69704437255859,0.0671918812695998,465.4,581.7,8,16961.0,2,147.0,0.9642857142857143,28
1,12.7200632095337,12.6428151130676,0.167090639951448,12.5889339447021,13.0056886672974,0.416754722595215,12.6203279495239,12.6315760612488,0.192042911643459,12.2531881332397,13.0056886672974,0.752500534057617,12.5655490239461,12.5889339447021,0.194807106640884,12.1909875869751,13.0056886672974,0.814701080322266,12.5701731741428,12.5693111419678,0.402714937336077,11.9892673492432,14.4548873901367,2.46562004089355,0.0671918812695998,265.4,331.8,5,16961.0,1,,0.03571428571428571,28
2,12.5680780410767,12.5910134315491,0.249906089074318,12.1932611465454,12.8970241546631,0.703763008117676,13.0554141998291,12.586606502533,1.28411768744451,12.1932611465454,16.8042678833008,4.61100673675537,13.2635756174723,12.5852298736572,1.578882534071,12.0673828125,17.2389163970947,5.17153358459473,12.4041702896357,12.5034651756287,1.77087042594423,7.7782416343689,17.2389163970947,9.46067476272583,0.2143461003739376,549.8,687.2,9,16961.0,2,36.0,0.21428571428571427,28
3,12.0611651738485,12.2538223266602,0.437655269253482,11.4554491043091,12.4742240905762,1.01877498626709,12.1140574216843,12.2115483283997,0.332402374170706,11.4554491043091,12.4742240905762,1.01877498626709,12.0089204907417,12.1421098709106,0.422705111361222,10.9299840927124,12.5393571853638,1.60937309265137,11.9692667792825,12.0974740982056,0.615773578384206,10.5751085281372,13.7997007369995,3.2245922088623,0.0671918812695998,253.8,317.2,4,16961.0,1,65.0,0.6071428571428571,28
4,12.4877488613129,12.5804686546326,0.170236132523419,12.1932611465454,12.5967969894409,0.403535842895508,12.5319254398346,12.5790920257568,0.190952083599205,12.1932611465454,12.8970241546631,0.703763008117676,12.9773401260376,12.5852298736572,1.16141799051917,12.0673828125,16.8042678833008,4.73688507080078,12.7940776768853,12.5662832260132,1.63103494521115,8.41097545623779,17.4427928924561,9.03181743621826,0.2143461003739376,545.0,681.3,9,16961.0,2,18.0,0.03571428571428571,28
5,12.1540293693542,12.1569213867188,0.0731899131133649,12.0484523773193,12.2538223266602,0.20536994934082,12.1212436887953,12.1692743301392,0.254950624608888,11.4554491043091,12.4158544540405,0.960405349731445,12.0196574716007,12.1692743301392,0.396535795493945,10.9299840927124,12.4742240905762,1.54423999786377,12.0184174128941,12.1692743301392,0.481176916074256,10.4273090362549,12.7298564910889,2.30254745483398,0.0671918812695998,157.1,196.3,3,16961.0,1,99.0,0.35714285714285715,28
6,12.4593470891317,12.5879831314087,0.188185578007222,12.1932611465454,12.5967969894409,0.403535842895508,12.5319254398346,12.5790920257568,0.190952083599205,12.1932611465454,12.8970241546631,0.703763008117676,12.8135323842367,12.5790100097656,1.09201515195927,12.0673828125,16.8042678833008,4.73688507080078,12.6336460113525,12.5662832260132,1.41065691661983,8.41097545623779,17.2389163970947,8.82794094085693,0.2143461003739376,526.9,658.6,9,16961.0,2,18.0,0.17857142857142858,28
7,11.9708521366119,11.9768676757812,0.41003162696756,11.4554491043091,12.4742240905762,1.01877498626709,11.9824937184652,12.1692743301392,0.486504457347924,10.9299840927124,12.4742240905762,1.54423999786377,12.0047772725423,12.1445684432983,0.437505100396277,10.9299840927124,12.5393571853638,1.60937309265137,12.1521737277508,12.1471128463745,0.655729208240621,10.9299840927124,13.7997007369995,2.86971664428711,0.0671918812695998,274.8,343.5,5,16961.0,1,28.0,0.5,28
8,11.9708521366119,11.9768676757812,0.41003162696756,11.4554491043091,12.4742240905762,1.01877498626709,12.1152783632278,12.2765879631042,0.375490620172902,11.4554491043091,12.5393571853638,1.08390808105469,12.0390355246408,12.1594657897949,0.434000983542981,10.9299840927124,12.5393571853638,1.60937309265137,12.3010593582602,12.1594657897949,0.871792713790789,10.9299840927124,14.7894611358643,3.85947704315186,0.0671918812695998,310.1,387.6,5,16961.0,1,28.0,0.39285714285714285,28
9,12.4877488613129,12.5804686546326,0.170236132523419,12.1932611465454,12.5967969894409,0.403535842895508,12.8552854855855,12.5790920257568,1.20982893219151,12.0673828125,16.8042678833008,4.73688507080078,12.8003246188164,12.575982093811,1.07449137533128,12.0673828125,16.8042678833008,4.73688507080078,12.820596575737,12.575982093811,1.6699326816827,8.41097545623779,17.4427928924561,9.03181743621826,0.2143461003739376,564.1,705.1,9,16961.0,2,13.0,0.14285714285714285,28
10,12.2189981937408,12.2410898208618,0.114193207777665,12.0484523773193,12.3453607559204,0.296908378601074,12.2227389017741,12.1857233047485,0.0967822759296404,12.0484523773193,12.3573236465454,0.308871269226074,12.2417514165243,12.2302942276001,0.253725649134515,11.5351676940918,12.7298564910889,1.19468879699707,12.1802653372288,12.2420582771301,0.416072232049075,10.9299840927124,12.7298564910889,1.79987239837646,0.0671918812695998,131.4,164.3,3,16961.0,1,45.0,0.03571428571428571,28
11,12.4877488613129,12.5804686546326,0.170236132523419,12.1932611465454,12.5967969894409,0.403535842895508,12.5340605841743,12.5729541778564,0.196463446749312,12.1932611465454,12.8970241546631,0.703763008117676,12.7998069354466,12.575982093811,1.12909239509588,12.0673828125,16.8042678833008,4.73688507080078,12.820596575737,12.575982093811,1.6699326816827,8.41097545623779,17.4427928924561,9.03181743621826,0.2143461003739376,548.8,686.0,9,16961.0,2,19.0,0.17857142857142858,28
12,13.4094665050507,12.3831076622009,1.96880505530538,12.0673828125,16.8042678833008,4.73688507080078,12.9335899353027,12.4869546890259,1.47483787860555,12.0673828125,16.8042678833008,4.73688507080078,12.7469318253653,12.586606502533,1.26324906460139,10.6896591186523,16.8042678833008,6.11460876464844,12.2507667962243,12.4491014480591,2.17265626563506,7.7782416343689,17.4427928924561,9.66455125808716,0.2143461003739376,633.5,791.8,10,16961.0,2,19.0,0.10714285714285714,28
13,12.6558012962341,12.6792330741882,0.073520079779335,12.5348825454712,12.7298564910889,0.194973945617676,12.5423762003581,12.5596122741699,0.143294485216831,12.2964563369751,12.7298564910889,0.43340015411377,12.5654402460371,12.5822973251343,0.182248151897776,12.2964563369751,13.0056886672974,0.709232330322266,12.4302021861076,12.3957853317261,0.209902243385938,12.0484523773193,13.0056886672974,0.957236289978027,0.0671918812695998,235.0,293.7,4,16961.0,1,21.0,0.07142857142857142,28
14,12.166522026062,12.1692743301392,0.0169137427071599,12.1445684432983,12.1857233047485,0.0411548614501953,11.9964438676834,12.1569213867188,0.294830120549025,11.4554491043091,12.2538223266602,0.798373222351074,12.0051445643107,12.1692743301392,0.400598870849654,10.9299840927124,12.4158544540405,1.48587036132812,12.0860328674316,12.1824083328247,0.387769589052189,10.9299840927124,12.7298564910889,1.79987239837646,0.0671918812695998,190.5,238.1,3,16961.0,1,17.0,0.2857142857142857,28
15,12.5512630939484,12.5804686546326,0.0606151104122308,12.4473180770874,12.5967969894409,0.149478912353516,12.4738202624851,12.4473180770874,0.154592924388366,12.1932611465454,12.7354164123535,0.542155265808105,12.7976623773575,12.575982093811,1.05912411011506,12.0673828125,16.8042678833008,4.73688507080078,12.9582952771868,12.5879831314087,1.38652017450014,10.6896591186523,17.4427928924561,6.75313377380371,0.2143461003739376,528.3,660.3,9,16961.0,2,21.0,0.14285714285714285,28
16,12.5440327326457,12.5879831314087,0.068482184900741,12.4473180770874,12.5967969894409,0.149478912353516,12.4829283952713,12.5101361274719,0.161677831068927,12.1932611465454,12.7354164123535,0.542155265808105,12.5437026341756,12.5596122741699,0.204675638145564,12.1932611465454,13.0056886672974,0.812427520751953,12.8784648951362,12.586606502533,1.11222622338551,12.0673828125,17.2389163970947,5.17153358459473,0.2143461003739376,511.4,639.2,8,16961.0,2,21.0,0.17857142857142858,28
