fold,n_test,mae_model,rmse_model,mae_naive,rmse_naive,mae_improve_pct,rmse_improve_pct,tier_accuracy,tier_off_by_2plus_pct,n_unique_tier_edges
0,836,0.16322993602420974,0.21917040144345667,0.1854066985645933,0.2812416931255981,11.961144183071392,22.070444460886304,0.3875598086124402,3.349282296650718,3
1,853,0.15870848926654138,0.202148017159414,0.1951934349355217,0.28926676921988825,18.691686880264385,30.11709651109295,0.4630715123094959,1.5240328253223916,3
2,866,0.15863001840425694,0.2054929871933536,0.1827367205542725,0.2703869863766516,13.192040481461914,24.00041512830061,0.5150115473441108,2.0785219399538106,3
3,585,0.15290701730001685,0.19796379935661507,0.1700854700854701,0.2594372608313854,10.099894351246377,23.694923881702344,0.4735042735042735,5.299145299145299,3
