complex_id,slope_mean_100m,slope_median_100m,slope_stdev_100m,slope_min_100m,slope_max_100m,slope_range_100m,slope_mean_150m,slope_median_150m,slope_stdev_150m,slope_min_150m,slope_max_150m,slope_range_150m,slope_mean_200m,slope_median_200m,slope_stdev_200m,slope_min_200m,slope_max_200m,slope_range_200m,slope_mean_300m,slope_median_300m,slope_stdev_300m,slope_min_300m,slope_max_300m,slope_range_300m,school_pc1,straight_dist_m,walk_dist_m,walk_time_min,avg_daily_ridership,station_zone_ord,MDD,CV
0,13.3103071848551,12.8970241546631,0.819687393189431,12.5790100097656,14.4548873901367,1.87587738037109,12.7834632396698,12.5870819091797,0.659388158119534,12.1909875869751,14.4548873901367,2.26389980316162,12.8760043978691,12.5821199417114,1.25540913358244,11.9892673492432,17.2389163970947,5.24964904785156,12.6290843963623,12.5852298736572,1.45202761386392,8.54187202453613,17.2389163970947,8.69704437255859,0.0671918812695998,465.4,581.7,8,16961.0,2,0.36796857328371113,0.09063913884139467
3,12.0611651738485,12.2538223266602,0.437655269253482,11.4554491043091,12.4742240905762,1.01877498626709,12.1140574216843,12.2115483283997,0.332402374170706,11.4554491043091,12.4742240905762,1.01877498626709,12.0089204907417,12.1421098709106,0.422705111361222,10.9299840927124,12.5393571853638,1.60937309265137,11.9692667792825,12.0974740982056,0.615773578384206,10.5751085281372,13.7997007369995,3.2245922088623,0.0671918812695998,253.8,317.2,4,16961.0,1,0.2253903777168181,0.07296380182762671
5,12.1540293693542,12.1569213867188,0.0731899131133649,12.0484523773193,12.2538223266602,0.20536994934082,12.1212436887953,12.1692743301392,0.254950624608888,11.4554491043091,12.4158544540405,0.960405349731445,12.0196574716007,12.1692743301392,0.396535795493945,10.9299840927124,12.4742240905762,1.54423999786377,12.0184174128941,12.1692743301392,0.481176916074256,10.4273090362549,12.7298564910889,2.30254745483398,0.0671918812695998,157.1,196.3,3,16961.0,1,0.21814297579942057,0.0799111030571809
7,11.9708521366119,11.9768676757812,0.41003162696756,11.4554491043091,12.4742240905762,1.01877498626709,11.9824937184652,12.1692743301392,0.486504457347924,10.9299840927124,12.4742240905762,1.54423999786377,12.0047772725423,12.1445684432983,0.437505100396277,10.9299840927124,12.5393571853638,1.60937309265137,12.1521737277508,12.1471128463745,0.655729208240621,10.9299840927124,13.7997007369995,2.86971664428711,0.0671918812695998,274.8,343.5,5,16961.0,1,0.19230769230769235,0.09503874582882875
8,11.9708521366119,11.9768676757812,0.41003162696756,11.4554491043091,12.4742240905762,1.01877498626709,12.1152783632278,12.2765879631042,0.375490620172902,11.4554491043091,12.5393571853638,1.08390808105469,12.0390355246408,12.1594657897949,0.434000983542981,10.9299840927124,12.5393571853638,1.60937309265137,12.3010593582602,12.1594657897949,0.871792713790789,10.9299840927124,14.7894611358643,3.85947704315186,0.0671918812695998,310.1,387.6,5,16961.0,1,0.10869565217391296,0.08731815244833674
17,12.4341568946838,12.4110770225525,0.0801857828269478,12.3548612594604,12.5596122741699,0.204751014709473,12.562383333842,12.5596122741699,0.196214582793416,12.3548612594604,13.0056886672974,0.650827407836914,12.5648650527,12.5834965705872,0.163433446975619,12.3473033905029,13.0056886672974,0.658385276794434,12.5732429231916,12.5729541778564,0.37862722189806,12.0673828125,14.4548873901367,2.38750457763672,0.2143461003739376,428.2,535.2,7,16961.0,2,0.23398328690807793,0.12740995515518
20,12.4401822090149,12.4231276512146,0.0763139472625231,12.3548612594604,12.5596122741699,0.204751014709473,12.5486229790582,12.4976949691772,0.193291451328943,12.3548612594604,13.0056886672974,0.650827407836914,12.5316074916295,12.5286536216736,0.201152496637163,12.1694049835205,13.0056886672974,0.836283683776855,12.5196003232683,12.5596122741699,0.193026536363384,12.1694049835205,13.0056886672974,0.836283683776855,0.2143461003739376,400.1,500.1,7,16961.0,2,0.23582561368145355,0.12728148702282777
22,12.5743272304535,12.5804686546326,0.118528429401341,12.4009552001953,12.7354164123535,0.334461212158203,12.4511888292101,12.5729541778564,0.220680477799131,12.0673828125,12.7354164123535,0.668033599853516,12.7881971767971,12.5119194984436,1.13463565717848,12.0673828125,16.8042678833008,4.73688507080078,12.4430672236851,12.5596122741699,1.642827642906,7.94655513763428,17.4427928924561,9.49623775482178,0.2143461003739376,616.0,770.0,10,16961.0,2,0.1345985745024207,0.13600264783834914
25,12.5743272304535,12.5804686546326,0.118528429401341,12.4009552001953,12.7354164123535,0.334461212158203,12.5264005661011,12.5119194984436,0.124918913551292,12.3548612594604,12.7354164123535,0.380555152893066,12.4635087966919,12.4473180770874,0.212707276324549,12.0673828125,12.9167289733887,0.849346160888672,12.7953751303933,12.5790100097656,1.18091302855466,10.6896591186523,17.4427928924561,6.75313377380371,0.2143461003739376,580.2,725.3,10,16961.0,2,0.19908466819221984,0.1585191121169889
28,12.0111382007599,12.1618309020996,0.275245548190367,11.5351676940918,12.1857233047485,0.650555610656738,11.8237274885178,12.0810322761536,0.48795198369061,10.9299840927124,12.3573236465454,1.42733955383301,11.8704101443291,12.0329742431641,0.408832590347465,10.9299840927124,12.3573236465454,1.42733955383301,12.0788187419667,12.1824083328247,0.429609122852837,10.9299840927124,13.1238975524902,2.19391345977783,0.0671918812695998,265.4,331.7,5,16961.0,1,0.11434126690069343,0.17643221164139214
37,12.4012791315715,12.2451181411743,0.373792845083109,12.0419902801514,12.9167289733887,0.874738693237305,13.1735129356384,12.7428398132324,1.64003651328741,12.0419902801514,17.4427928924561,5.40080261230469,12.6315689086914,12.660831451416,1.44428928191339,9.62422561645508,17.4427928924561,7.81856727600098,12.1465891974313,12.5729541778564,1.93641352207409,7.23573875427246,17.4427928924561,10.2070541381836,0.2143461003739376,779.9,974.9,13,16961.0,3,0.12933333333333324,0.14851978642791852
38,12.491429567337,12.4483160972595,0.143552256986272,12.3473033905029,12.7217826843262,0.374479293823242,12.4443613290787,12.4294304847717,0.158486293606502,12.1694049835205,12.7217826843262,0.552377700805664,12.4595612287521,12.4491014480591,0.157928283394743,12.1694049835205,12.7354164123535,0.566011428833008,12.5088340486799,12.4599237442017,0.220286825284743,12.1055164337158,13.0956735610962,0.990157127380371,0.2143461003739376,496.4,620.5,8,16961.0,2,0.11824324324324333,0.14668991982358767
41,11.9346976280212,11.9580464363098,0.251841529206345,11.5617437362671,12.2609539031982,0.699210166931152,12.1020170450211,12.1876378059387,0.251144059669371,11.5617437362671,12.3573236465454,0.79557991027832,11.954258782523,12.0615062713623,0.378454920688943,11.2404632568359,12.4517688751221,1.21130561828613,12.04583871024,12.1694049835205,0.4868185598646,10.9299840927124,13.1238975524902,2.19391345977783,0.0671918812695998,387.8,484.8,7,16961.0,2,0.20948486759200033,0.1388962655851836
42,12.7042512893677,12.6352233886719,0.238876124277863,12.4508848190308,13.0956735610962,0.64478874206543,12.7096775902642,12.6921443939209,0.205690960986926,12.4009552001953,13.0956735610962,0.694718360900879,12.6170779636928,12.6352233886719,0.224325844079577,12.2451181411743,13.0956735610962,0.850555419921875,12.6736795697893,12.5946731567383,0.874857756616859,11.2526330947876,17.4427928924561,6.19015979766846,0.2143461003739376,694.4,867.9,11,16961.0,3,0.11597580134246628,0.13230805695624578
44,12.4669318199158,12.4554042816162,0.093509576213171,12.3473033905029,12.6096153259277,0.262311935424805,12.4803082942963,12.4554042816162,0.120637022376337,12.3473033905029,12.7217826843262,0.374479293823242,12.548898424421,12.4788093566895,0.196249139809426,12.3473033905029,13.0956735610962,0.748370170593262,12.5263458524431,12.5286455154419,0.213419966069247,12.1694049835205,13.0956735610962,0.926268577575684,0.2143461003739376,590.9,738.6,10,16961.0,2,0.039215686274509755,0.15213717595753645
