target,baseline_R2,extended_R2,delta_R2,baseline_adjR2,extended_adjR2,delta_adjR2,baseline_AICc,extended_AICc,delta_AICc,AICc_판정
MDD,0.4070271716232109,0.4656950463349505,0.05866787471173962,0.3888378210595057,0.43187827711564364,0.04304045605613793,-224.35386502003755,-219.15503444197074,5.198830578066804,차이 없음/악화
CV,0.4019668284435176,0.412943171351997,0.010976342908479375,0.3836222526289016,0.38359032991959685,-3.192270930474361e-05,-555.6290380434427,-546.4379020661097,9.191135977333033,차이 없음/악화
