fold,n_train,n_test,train_r2,test_r2,gap
0,1972,836,0.7872088479613705,0.5913872008933108,0.1958216470680597
1,2808,853,0.7742408827537561,0.7078807436022787,0.06636013915147743
2,3661,866,0.7695273158862603,0.7156217162075543,0.05390559967870601
3,4527,585,0.7662333070512436,0.7503612950831157,0.01587201196812793
