,0
unit_cnt,0.3502004
living_population_avg,0.14188744
slope_mean_300m,0.068205014
slope_min_300m,0.05469362
population_avg,0.047337163
walk_dist_m,0.042502027
pop_growth_mom_avg,0.039602276
slope_median_300m,0.038390882
slope_stdev_300m,0.03402372
slope_range_300m,0.03268358
straight_dist_m,0.031733524
slope_max_300m,0.030718194
school_pc1,0.029261535
avg_daily_ridership,0.02616608
commercial_index_lasso19_avg,0.019374065
walk_time_min,0.01322047
station_zone_ord,0.0
